,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Good Omens,593,0,0,0,0,0,8737,28208,36546,42066,45362,59647
Angel: the Series,569,0,0,0,0,0,0,0,0,0,0,0
Lord of the Rings RPF,569,0,0,0,0,0,0,0,0,0,0,0
The Big Bang Theory (TV),542,0,0,0,0,0,0,0,0,0,0,0
Doctor Who RPF,540,0,0,0,0,0,0,0,0,0,0,0
Kingdom Hearts,537,0,0,0,0,0,0,0,0,0,0,0
Gundam Wing,527,0,0,0,0,0,0,0,0,0,0,0
KAT,525,0,0,0,0,0,0,0,0,0,0,0
Batman (Comics),511,0,0,0,0,0,0,0,0,0,0,0
Men: First Class (2011),0,6472,0,0,0,0,0,0,0,0,0,0
Attack on Titan,0,3598,7207,10116,11702,0,13567,14304,15492,16780,17017,17420
Welcome to Night Vale,0,2464,3351,3827,4053,0,0,0,0,0,0,0
Arrow (TV 2012),0,1823,4864,7665,9258,0,11497,11147,11487,11583,11055,0
Rooster Teeth/Achievement Hunter RPF,0,1598,2468,0,0,0,0,0,0,0,0,0
Pacific Rim (2013),0,1277,1819,0,0,0,0,0,0,0,0,0
X-Men: First Class (2011),0,0,8544,0,0,0,0,0,0,0,0,0
Hawaii Five-0 (2010),0,0,6534,7484,8657,0,10901,11750,11461,11915,11249,11462
The 100 (TV),0,0,3637,6756,8535,0,11448,12750,14092,14507,14079,13863
Stargate SG-1,0,0,3180,3502,0,0,0,0,0,0,0,0
Dragon Age: Inquisition,0,0,2894,5400,6405,0,7694,8175,8594,0,0,0
Free!,0,0,2600,3499,3964,0,0,0,0,0,0,0
Carmilla (Web Series),0,0,2429,4101,4729,0,0,0,0,0,0,0
Phandom/The Fantastic Foursome (YouTube RPF),0,0,2203,6465,9938,0,15554,17316,17455,17075,16511,16746
Haikyuu!!,0,0,2085,4734,6964,0,8902,11155,16456,18685,19147,19843
Agents of S.H.I.E.L.D. (TV),0,0,1846,3612,4863,0,6234,6824,0,0,0,0
X-Men (Alternate Timeline Movies),0,0,0,10365,11683,0,13418,14736,15634,16413,16193,16595
James Bond (Craig movies),0,0,0,4483,5267,0,6307,6897,0,0,0,0
Mortal Instruments Series - Cassandra Clare,0,0,0,4346,0,0,0,0,0,0,0,0
Star Wars Episode VII: The Force Awakens (2015),0,0,0,4256,8022,0,0,0,0,0,0,0
Miraculous Ladybug,0,0,0,3712,6307,0,14477,19631,25668,31257,33169,35111
Kingsman: The Secret Service (2015),0,0,0,3281,4121,0,0,0,0,0,0,0
Twenty One Pilots,0,0,0,3169,5886,0,7085,7082,0,0,0,0
Bangtan Boys,0,0,0,3080,7150,0,18118,23339,28479,32629,35024,37354
Dragon Age II,0,0,0,3054,0,0,0,0,0,0,0,0
Rooster Teeth/Achievement Hunter/Funhaus RPF,0,0,0,2929,0,0,0,0,0,0,0,0
The X-Files,0,0,0,2882,4097,0,7604,8825,10377,12076,13204,14215
Dragon Age: Origins,0,0,0,2769,0,0,0,0,0,0,0,0
Yuri!!! on Ice (Anime),0,0,0,0,13902,0,22515,24333,25647,26463,25253,24741
Voltron: Legendary Defender,0,0,0,0,10614,0,27848,30317,31707,32529,32035,32765
Shadowhunters (TV),0,0,0,0,9734,0,21224,24787,28086,29934,29501,29458
Hamilton,0,0,0,0,4409,0,5889,0,0,0,0,0
Supergirl (TV 2015),0,0,0,0,3793,0,9458,13048,16227,19062,19455,20322
Spider-Man - All Media Types,0,0,0,0,3770,0,6170,7206,0,0,0,0
Star Wars Sequel Trilogy,0,0,0,0,0,0,12275,21306,25865,27926,26363,26940
Marvel Cinematic Universe,0,0,0,0,0,0,10639,17384,22165,25763,26868,28996
Boku no Hero Academia,0,0,0,0,0,0,9855,16824,25351,32615,38415,43102
Overwatch (Video Game),0,0,0,0,0,0,5831,0,0,0,0,0
Game of Thrones (TV),0,0,0,0,0,0,5736,7063,8484,0,0,0
Emmerdale,0,0,0,0,0,0,5471,0,0,0,0,0
Mo Dao Zu Shi,0,0,0,0,0,0,0,13132,23826,31777,34632,37658
IT,0,0,0,0,0,0,0,12227,14105,14836,14803,14996
Bungou Stray Dogs,0,0,0,0,0,0,0,8768,12626,17676,24005,32770
The Witcher (TV),0,0,0,0,0,0,0,7573,13915,18663,18753,19107
EXO (Band),0,0,0,0,0,0,0,6630,8408,9329,0,0
Video Blogging RPF,0,0,0,0,0,0,0,0,13780,20920,22989,21836
She-Ra and the Princesses of Power (2018),0,0,0,0,0,0,0,0,8347,10063,10525,11366
9-1-1 (TV),0,0,0,0,0,0,0,0,8345,14895,17540,24057
Percy Jackson and the Olympians - Rick Riordan,0,0,0,0,0,0,0,0,8205,9922,11151,14210
Minecraft (Video Game),0,0,0,0,0,0,0,0,0,15929,20602,20717
Genshin Impact (Video Game),0,0,0,0,0,0,0,0,0,9641,12678,14702
Stranger Things (TV 2016),0,0,0,0,0,0,0,0,0,0,19870,25409
Our Flag Means Death (TV),0,0,0,0,0,0,0,0,0,0,13595,18083
