Year,Pairing,Fandom,Type,Works
2020,Kara Danvers/Lena Luthor,Supergirl (TV 2015),F/F,13048
2020,Jensen Ackles/Jared Padalecki,Supernatural RPF,M/M,13046
2020,Loki/Thor (Marvel),Thor (Movies),M/M,12863
2020,Bellamy Blake/Clarke Griffin,The 100 (TV),F/M,12750
2020,J-Hope/Min Yoongi,Bangtan Boys,M/M,12668
2020,Regina Mills/Emma Swan,Once Upon a Time (TV),F/M,12286
2020,Eddie Kaspbrak/Richie Tozier,IT,M/M,12227
2020,James T. Kirk/Spock,Star Trek: Alternate Original Series (Movies),M/M,12015
2020,Rodney McKay/John Sheppard,Stargate Atlantis,M/M,11951
2020,"Steve McGarrett/Danny ""Danno"" Williams",Hawaii Five-0 (2010),M/M,11750
2020,Hermione Granger/Ron Weasley,Harry Potter,F/M,11700
2020,Clarke Griffin/Lexa,The 100 (TV),F/F,11651
2020,Harry Potter/Severus Snape,Harry Potter,M/M,11582
2020,Ian Gallagher/Mickey Milkovich,Shameless (US),M/M,11436
2020,Clint Barton/Natasha Romanov,The Avengers (Marvel Movies),F/M,11340
2020,Iwaizumi Hajime/Oikawa Tooru,Haikyuu!!,M/M,11155
2020,Oliver Queen/Felicity Smoak,Arrow (TV 2012),F/M,11147
2020,Clint Barton/Phil Coulson,The Avengers (Marvel Movies),M/M,10642
2020,Hinata Shouyou/Kageyama Tobio,Haikyuu!!,M/M,10486
2020,Mycroft Holmes/Lestrade,Sherlock (TV),M/M,10450
2020,Killian Jones/Emma Swan,Once Upon a Time (TV),F/M,10301
2020,Hermione Granger/Draco Malfoy,Harry Potter,F/M,10190
2020,James Potter/Lily Evans Potter,Harry Potter,F/M,10125
2020,V/Park Jimin,Bangtan Boys,M/M,9891
2020,Bilbo Baggins/Thorin Oakenshield,The Hobbit,M/M,9875
2020,Loki/Tony Stark,The Avengers (Marvel Movies),M/M,9781
2020,Jack Harkness/Ianto Jones,Torchwood,M/M,9666
2020,Frank Iero/Gerard Way,My Chemical Romance,M/M,9574
2020,Tenth Doctor/Rose Tyler,Doctor Who (2005),F/M,9568
2020,Jeon Jungkook/Min Yoongi,Bangtan Boys,M/M,9498
2020,"James ""Bucky"" Barnes & Steve Rogers",Captain America (Movies),Gen,9347
2020,Harry Potter/Ginny Weasley,Harry Potter,F/M,9269
2020,Castiel & Dean Winchester,Supernatural,Gen,9122
2020,Zayn Malik/Liam Payne,One Direction (Band),M/M,8967
2020,Fox Mulder/Dana Scully,The X-Files,F/M,8825
2020,Dean Winchester & Sam Winchester,Supernatural,Gen,8791
2020,Dazai Osamu/Nakahara Chuuya,Bungou Stray Dogs,M/M,8768
2020,Sherlock Holmes/Molly Hooper,Sherlock (TV),F/M,8560
2020,Inquisitor/Cullen Rutherford,Dragon Age: Inquisition,Other,8175
2020,Aziraphale & Crowley (Good Omens),Good Omens,Gen,7928
2020,Belle/Rumplestiltskin,Once Upon a Time (TV),F/M,7927
2020,"James T. Kirk/Leonard ""Bones"" McCoy",Star Trek: Alternate Original Series (Movies),M/M,7855
2020,"James ""Bucky"" Barnes/Reader",Marvel Cinematic Universe,Other,7724
2020,Uchiha Sasuke/Uzumaki Naruto,Naruto,M/M,7705
2020,Akaashi Keiji/Bokuto Koutarou,Haikyuu!!,M/M,7629
